,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2017,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2018,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2019,Dependiente,Sin información,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2020,Dependiente,Otras actividades de servicios,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2022,Dependiente,Otras actividades de servicios,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2009-1,2023,Dependiente,Otras actividades de servicios,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2017,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2018,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Masculino,2009-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2017,Dependiente,Educación,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2017,Dependiente,Educación,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2018,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2019,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2020,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2021,Dependiente,Educación,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2022,Dependiente,Educación,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Femenino,2009-1,2023,Dependiente,Educación,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2017,Dependiente,Actividades de organizaciones y entidades extraterritoriales,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2017,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2017,Dependiente,Educación,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2017,Dependiente,Educación,Entre 11 y 13 SMMLV,Más de 9 SMMLV,2
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,Actividades de organizaciones y entidades extraterritoriales,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,Actividades de organizaciones y entidades extraterritoriales,Más de 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2018,Dependiente,Educación,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2019,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2019,Dependiente,Educación,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,2
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,Educación,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,Educación,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2020,Dependiente,Educación,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,Educación,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2021,Dependiente,Educación,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Actividades de atención de la salud humana y de asistencia social,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Educación,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Educación,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2022,Dependiente,Información y comunicaciones,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Educación,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Educación,Más de 15 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,20845-MAESTRIA EN SOFTWARE LIBRE,Masculino,2009-1,2023,Dependiente,Información y comunicaciones,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2016,Dependiente,Educación,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2017,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2018,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2018,Dependiente,Sin información,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2019,Dependiente,Sin información,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 13 y 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas",Más de 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2021,Dependiente,Educación,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2022,Dependiente,"Actividades profesionales, científicas y técnicas",Más de 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2022,Dependiente,Educación,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Femenino,2009-1,2023,Dependiente,"Actividades profesionales, científicas y técnicas",Más de 15 SMMLV,Más de 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2016,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2017,Dependiente,Actividades de servicios administrativos y de apoyo,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2018,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2019,Dependiente,Educación,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2019,Dependiente,Sin información,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1818-Universidad Cooperativa de Colombia,19937-ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,Masculino,2009-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
2812-Universidad EAN,9517-ADMINISTRACION DE EMPRESAS,Femenino,2009-1,2016,Dependiente,Actividades financieras y de seguros,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
2812-Universidad EAN,9517-ADMINISTRACION DE EMPRESAS,Femenino,2009-1,2016,Dependiente,Actividades financieras y de seguros,Entre 9 y 11 SMMLV,Más de 9 SMMLV,1
2812-Universidad EAN,9517-ADMINISTRACION DE EMPRESAS,Femenino,2009-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
2812-Universidad EAN,9517-ADMINISTRACION DE EMPRESAS,Femenino,2009-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
2812-Universidad EAN,9517-ADMINISTRACION DE EMPRESAS,Femenino,2009-1,2016,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
