,,,,,,,Lugar de grado,,Medidas,
,,,,,,,País,,Medidas,
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,Colombia,,,
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,Graduados,Graduados que cotizan,,Tasa de 
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2009-2,2020,Dependiente,Actividades de atención de la salud humana y de asistencia social,2,2,,"100,0%"
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2009-2,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,3,3,,"100,0%"
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Femenino,2009-2,2020,Independiente,"Actividades profesionales, científicas y técnicas",2,2,,"100,0%"
1704-Universidad Santo Tomás,4267-ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Masculino,2009-2,2020,Dependiente,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,,"100,0%"
